GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
searchPicSpring,at.fhv.cicd.application.endpoints,AuthEndpoint,0,11,0,0,0,4,0,3,0,3
searchPicSpring,at.fhv.cicd.application.endpoints,HistoryEndpoint,4,3,0,0,1,1,1,1,1,1
searchPicSpring,at.fhv.cicd.application.endpoints,PictureEndpoint,0,8,0,0,0,2,0,2,0,2
searchPicSpring,at.fhv.cicd.application.models,User,3,20,0,0,1,8,1,4,1,4
searchPicSpring,at.fhv.cicd.application.models,HistoryItem,9,24,0,0,3,10,3,4,3,4
searchPicSpring,at.fhv.cicd.application.models,PictureResult,3,12,0,0,1,4,1,2,1,2
searchPicSpring,at.fhv.cicd.application.models,History,4,11,0,0,2,3,1,2,1,2
searchPicSpring,at.fhv.cicd.application.handlers,PictureHandler,4,139,1,7,2,31,1,6,0,3
searchPicSpring,at.fhv.cicd.application.handlers,AuthHandler,5,83,1,13,1,21,1,11,0,5
searchPicSpring,at.fhv.cicd.application.handlers,HistoryHandler,7,47,1,5,2,14,1,6,0,4
searchPicSpring,at.fhv.cicd.application,Application,8,0,0,0,3,0,2,0,2,0
